Region,Zone,District,match_0,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13
Addis Ababa,,Addis Ketema,Addis Ketema,Addis Ketema,addis ketema kifle ketema,Addis Ketema Kifle Ketema,Addis Ketema Operational Woreda Health Office,,,,,,,,,
Addis Ababa,,Akaki,Akaki,Akaki,akaki kality kifle ketema,Akaki Kality Kifle Ketema,,,,,,,,,,
Addis Ababa,,Arada,Arada,Arada,arada kifle ketema,Arada Kifle Ketema,,,,,,,,,,
Addis Ababa,,Bole,Bole,Bole,Bole Kifle Ketema,bolle,,,,,,,,,,
Addis Ababa,,Gulelle,Gulelle,Gulelle,Gulele Kifle Ketema,gulele kifle ketema,gulelie,gulelle,,,,,,,,
Addis Ababa,,Kirkos,Kirkos,Kirkos,Cherkos kifle ketema,,,,,,,,,,,
Addis Ababa,,Kolfe,Kolfe,Kolfe,Kolfe Keraniyo Kefle Ketema,kolfe - keran,kolfe youth centre,kolfie keranio,,,,,,,,
Addis Ababa,,Lideta,Lideta,Lideta,Lideta Kifle Ketema,lideta kifle ketema,,,,,,,,,,
Addis Ababa,,Nifas Silk,Nifas Silk,Nifas Silk,Nefas Silk Lafto Kefle Ketema,nefas silk lafto kefle ketema,nifase silk lafto,nifas silk,,,,,,,,
Addis Ababa,,Yeka,Yeka,Yeka,Yeka Kifle Ketema,,,,,,,,,,,
Afar,,Abaala,Abaala,Abaala,abaala,Abala Woreda,,,,,,,,,,
Afar,,Adaar,Adaar,Adaar,adaar,Adaar Woreda,adar,adara hospital,,,,,,,,
Afar,,Afambo,Afambo,Afambo,Afambo Woreda,,,,,,,,,,,
Afar,,Afdera,Afdera,Afdera,Afdera Woreda,,,,,,,,,,,
Afar,,Amibera,Amibera,Amibera,Amibara Woreda,amibera,,,,,,,,,,
Afar,,Aregoba,Aregoba,Aregoba,Argoba Liyu Woreda,argoba special,,,,,,,,,,
Afar,,Awash Fentale,Awash Fentale,Awash Fentale,Awash Fentale Woreda,,,,,,,,,,,
Afar,,Awash Town,Awash Town,Awash Town,Awash town admin Woreda,awash town,awash city,,,,,,,,,
Afar,,Awera,Awera,Awera,awra,awera,Awura Woreda,,,,,,,,,
Afar,,Ayesaita,Ayesaita,Ayesaita,asayita,ayesaita,aysaeta,aysaita,ayssaita,Ayssaita Woreda,,,,,,
Afar,,Berahle,Berahle,Berahle,Berhale Woreda,berahle,berahile,,,,,,,,,
Afar,,Bidu,Bidu,Bidu,bidu,bidu Woreda,,,,,,,,,,
Afar,,Chifra,Chifra,Chifra,chifra,Chefera woreda,,,,,,,,,,
Afar,,Dalifage,Dalifage,Dalifage,dalifage,dalifaghe,Dalifaghe Woreda,dalifagi hospital,,,,,,,,
Afar,,Dallol,Dallol,Dallol,dallol,Dalol Woreda,dalul,,,,,,,,,
Afar,,Dewe,Dewe,Dewe,Dewe Woreda,,,,,,,,,,,
Afar,,Dubti,Dubti,Dubti,Dubti Woreda,dubti hospital,,,,,,,,,,
Afar,,Dulecha,Dulecha,Dulecha,Dulecha Woreda,dulacha,dulech,,,,,,,,,
Afar,,Elidar,Elidar,Elidar,Elidar Woreda,,,,,,,,,,,
Afar,,Erbti,Erbti,Erbti,Erebti Woreda,erbti,,,,,,,,,,
Afar,,Ewa,Ewa,Ewa,Ewa Woreda,,,,,,,,,,,
Afar,,Gelealu,Gelealu,Gelealu,gelealu,buremodaytu,Buremodaytu Woreda,,,,,,,,,
Afar,,Gewane,Gewane,Gewane,Gewane Woreda,,,,,,,,,,,
Afar,,Gulina,Gulina,Gulina,Gulina Woreda,gulina,,,,,,,,,,
Afar,,Hadeleala,Hadeleala,Hadeleala,hadele ele,hadelela,Fursi woreda,,,,,,,,,
Afar,,Koneba,Koneba,Koneba,Koneba Woreda,koneba,,,,,,,,,,
Afar,,Kori,Kori,Kori,kori Woreda,kurri,,,,,,,,,,
Afar,,Megale,Megale,Megale,Megale Woreda,megalle,,,,,,,,,,
Afar,,Mille,Mille,Mille,Mile Woreda,mille,,,,,,,,,,
Afar,,Samara- Logiya,Samara- Logiya,Samara Logiya,samara logiya,Semera_logia town admin woreda,,,,,,,,,,
Afar,,Samurobi,Samurobi,Samurobi,Semurobi Woreda,semirobi,samurobi,simurobi gele'alo,sumu robi,,,,,,,
Afar,,Telalak,Telalak,Telalak,Telalak Woreda,,,,,,,,,,,
Afar,,Teru,Teru,Teru,Teru Woreda,,,,,,,,,,,
Afar,,Yallo,Yallo,Yallo,Yalo Woreda,yallo,,,,,,,,,,
Amhara,Awi,Ankesha,Ankesha,Ankesha,Ankasha Guagusa Woreda,ankesha,ankesha guagusa,,,,,,,,,
Amhara,Awi,Banja,Banja,Banja,banja,Banja Shekudad Woreda,banja shikudad,,,,,,,,,
Amhara,Awi,Chagni,Chagni,Chagni,chagni,chagni town,Chagni Town Woreda,,,,,,,,,
Amhara,Awi,Dangila T,Dangila Town,Dangila T,dangila,dangila t,dangila town,dangla town,Dangla Town Woreda,dengila town,,,,,,
Amhara,Awi,Dangila W,Dangila W,Dangila W,dangila w,Dangila Woreda,dangla zuria,,,,,,,,,
Amhara,Awi,Fagita,Fagita,Fagita,Fagita Lekoma Woreda,fagita,,,,,,,,,,
Amhara,Awi,Guagusa,Guagusa,Guagusa,Guagusa Shikuda Woreda,guagusa,guagusa shikudad,,,,,,,,,
Amhara,Awi,Guangua,Guangua,Guangua,Guangua Woreda,,,,,,,,,,,
Amhara,Awi,Injibara,Injibara,Injibara,Injibara Town Woreda,injebra,injibara,injibara town,,,,,,,,
Amhara,Awi,Jawi,Jawi,Jawi,Jawi Woreda,,,,,,,,,,,
Amhara,Awi,Zigem,Zigem,Zigem,Zigem Town Woreda,zigem,,,,,,,,,,
Amhara,East Gojam,Aneded,Aneded,Aneded,aneded,Aneded Woreda,,,,,,,,,,
Amhara,East Gojam,Awabel,Awabel,Awabel,awabel,Awabel Woreda,,,,,,,,,,
Amhara,East Gojam,Bassoliben,Bassoliben,Bassoliben,baso liben,Baso Liben Woreda,basoliben,bassoliben,,,,,,,,
Amhara,East Gojam,Bibugn,Bibugn,Bibugn,bibugn,Bibugn Woreda,,,,,,,,,,
Amhara,East Gojam,Debaytilatgin,Debaytilatgin,Debaytilatgin,Debay Tilatgin Woreda,debay tilatgen,debay tilatgen,debay tilatgin,debaytilatgin,,,,,,,
Amhara,East Gojam,Debre Elias,Debre Elias,Debre Elias,Debre Elias Woreda,debre elias,,,,,,,,,,
Amhara,East Gojam,Debremarkos,Debremarkos,Debremarkos,Debere Markos Town Woreda,debre markos hospital,debremarkos town,debremarkos,,,,,,,,
Amhara,East Gojam,Dejen,Dejen,Dejen,Dejen Woreda,dejen,,,,,,,,,,
Amhara,East Gojam,Enarji,Enarj Enawga,Enarji,Enarj Enawga Woreda,enarji,enarj enawga,enarj enawga,enarje enawuga,,,,,,,
Amhara,East Gojam,Enebsisarmidir,Enebsisarmidir,Enebsisarmidir,Enebse Sar Midir Woreda,enebsisarmidir,enebsie sarmeder,enebse sar midir,enebse sar midir,,,,,,,
Amhara,East Gojam,Enemay,Enemay,Enemay,Enemay Woreda,enemay,,,,,,,,,,
Amhara,East Gojam,Goncha,Goncha,Goncha,Goncha Siso Enese Woreda,goncha,goncha siso enese,goncha/gonji kolele,gonchasieso enesie,,,,,,,
Amhara,East Gojam,Gozamen,Gozamen,Gozamin Woreda,gozamen,gozamin,guzamn,,,,,,,,,
Amhara,East Gojam,Hulet Eju,Hulet Eju Enese,Hulet Eju,Hulet Eju Enese Woreda,hulet ej enese,hulet eju,hulet eju enese,huletejuenesie,,,,,,,
Amhara,East Gojam,Machakel,Machakel,Machakel,Machakel Woreda,,,,,,,,,,,
Amhara,East Gojam,Motta,Motta,Motta,Mota Town Woreda,mota town,motta town,motta,motta hospital,,,,,,,
Amhara,East Gojam,shebel Berenta,shebel Berenta,shebel Berenta,Shebel Berenta Woreda,shebel berenta,,,,,,,,,,
Amhara,East Gojam,Sinan,Sinan,Sinan,Sinan Woreda,sinan,sinana,Sinana Woreda,,,,,,,,
Amhara,North Gondar,Adiarkay,Adiarkay,adiarkay,adi arkay,Adi Arkay Woreda,,,,,,,,,,
Amhara,North Gondar,Alefa,Alefa,Alefa Woreda,,,,,,,,,,,,
Amhara,North Gondar,Beyeda,Beyeda,Beyeda Woreda,,,,,,,,,,,,
Amhara,North Gondar,chilga,Chilga,Chilga Woreda,,,,,,,,,,,,
Amhara,North Gondar,Dabat,Dabat,Dabat Woreda,,,,,,,,,,,,
Amhara,North Gondar,Debark,Debark Town,Debark Woreda,debark town,,,,,,,,,,,
Amhara,North Gondar,Debark Zuria,Debark Zuria,Debark Zuria Woreda,debark zuria,,,,,,,,,,,
Amhara,North Gondar,Dembia,Dembia,Dembia Woreda,,,,,,,,,,,,
Amhara,North Gondar,Gendeewuha,Gendeewuha,Gendewuha Town Woreda,gendawuha,gendawuha town,gendeewuha,,,,,,,,,
Amhara,North Gondar,Gondar city,Gondar city,,gondar,gondar city,gonder town,,,,,,,,,
Amhara,North Gondar,Gondar Zuria,Gondar Zuria,Gondar Zuriya Woreda,gondar zuria,,,,,,,,,,,
Amhara,North Gondar,Janamora,Janamora,Janamora Woreda,janamora,,,,,,,,,,,
Amhara,North Gondar,Lay Armachiho,Lay Armachiho,Lay Armacho Woreda,lay armacho,lay armachoho,lay armachiho,,,,,,,,,
Amhara,North Gondar,Metema,Metema,Metema Woreda,,,,,,,,,,,,
Amhara,North Gondar,Miisrak Belesa,Miisrak Belesa,Misrak Belesa Woreda,miisrak belesa,Misrak este woreda,,,,,,,,,,
Amhara,North Gondar,Mirab Armachiho,Mirab Armachiho,Mirab Armachiho Woreda,mirab armachiho,,,,,,,,,,,
Amhara,North Gondar,Mirab Belesa,Mirab Belesa,Mirab Belesa Woreda,merab belsa,mirab belesa,Mirab esta woreda,,,,,,,,,
Amhara,North Gondar,Quara,Quara,Quara Woreda,quara,,,,,,,,,,,
Amhara,North Gondar,Tach Armachiho,Tach Armachiho,Tach Armacho Woreda,tach armachiho,tach armachoho,,,,,,,,,,
Amhara,North Gondar,Takusa,Takusa,Takusa Woreda,,,,,,,,,,,,
Amhara,North Gondar,Tegedae,Tegedae,Tegede Woreda,tegedae,,,,,,,,,,,
Amhara,North Gondar,Telemt,Telemt,telemt,,,,,,,,,,,,
Amhara,North Gondar,Wogera,Wogera,Wegera Woreda,wogera,,,,,,,,,,,
Amhara,North Shoa,Angolelanatera,Angolelanatera,Angolelanatera,angolala tera,Angolala Tera Woreda,angolelna tera,angolelanatera,,,,,,,,
Amhara,North Shoa,Ankober,Ankober,Ankober,Ankober Woreda,,,,,,,,,,,
Amhara,North Shoa,Antsokiagemza,Antsokiagemza,Antsokiagemza,antsokiagemza,antsokiyana gemza,Antsokiyana Gemza Woreda,,,,,,,,,
Amhara,North Shoa,Asagirt,Asagirt,Asagirt,asagirt,Asagirt Woreda,assagirt,,,,,,,,,
Amhara,North Shoa,Basonaworana,Basonaworana,Basonaworana,baso naworana,basonaworana,Basona Werana Woreda,,,,,,,,,
Amhara,North Shoa,Berehet,Berehet,Berehet,Berehet Woreda,berreh,,,,,,,,,,
Amhara,North Shoa,Debirebirihantawon,Debirebirihantawon,Debire Birihantawon,Debrebrehan Town Woreda,debrebrehan hospital,debire birihantawon,debirebirhan,debre berhan town,,,,,,,
Amhara,North Shoa,Efratagidim,Efratagidim,Efratagidim,Efratana Gidim Woreda,efratana gidim,efrata gidim,efratagidim,elfeta,elfata,efratanagidem,elfata woreda,,,,
Amhara,North Shoa,Ensaro,Ensaro,Ensaro,Ensaro Woreda,ensaro,,,,,,,,,,
Amhara,North Shoa,Gisherabel,Gisherabel,Gisherabel,Gishe Woreda,gisherabel,gishe,,,,,,,,,
Amhara,North Shoa,Hageremariam,Hageremariam,Hageremariam,Hagere Mariam Kesem Woreda,hagere mariam kesem,hageremariam,,,,,,,,,
Amhara,North Shoa,Kewet,Kewet,Kewet,Kewet Woreda,kewot,,,,,,,,,,
Amhara,North Shoa,Menz Keyamidir,Menz Keyamidir,Menz Keyamidir,Menz Keya Gebreal Woreda,menz keya gebreal,menzkeya,menz keyamidir,,,,,,,,
Amhara,North Shoa,Menzgeramidir,Menzgeramidir,Menzgeramidir,Menz Gera Midir Woreda,menz gera midir,menz gera midir,menzgeramidir,menzgera,,,,,,,
Amhara,North Shoa,Menzlalomidir,Menzlalomidir,Menzlalomidir,Menz Lalo Midir Woreda,menz lalo midir,menz lalo midir,menzlalomidir,menzlallo,,,,,,,
Amhara,North Shoa,Menzmamamidir,Menzmamamidir,Menzmamamidir,Menz Mama Midir Woreda,menz mama midir,menzmamamidir,menzmamma,,,,,,,,
Amhara,North Shoa,Merhabete,Merhabete,Merhabete,Merhabete Woreda,,,,,,,,,,,
Amhara,North Shoa,Midaworemo,Midaworemo,Midaworemo,Mida Woremo Woreda,midaworemo,mida woremo,mida woromo,,,,,,,,
Amhara,North Shoa,Minjar,Minjar,Minjar,Minjar Woreda,minjar,minjarshenkora,,,,,,,,,
Amhara,North Shoa,Mojanawodera,Mojanawodera,Mojanawodera,Mojana Woreda,mojanawodera,mojana waderea,mojana,,,,,,,,
Amhara,North Shoa,Moretinajiru,Moretinajiru,Moretinajiru,Moretna Juru Woreda,moretna jiru,moretinajiru,moretnajiru,,,,,,,,
Amhara,North Shoa,Shewarobitt tawon,Shewarobitt Town,Shewarobitt Tawon,Shewarobit Town Woreda,shewarobitt tawon,shewarobit,,,,,,,,,
Amhara,North Shoa,Siadebirinawayu,Siadebirinawayu,Siadebirinawayu,siadebirinawayu,saya deberna wayu woreda,,,,,,,,,,
Amhara,North Shoa,Tarmaber,Tarmaber,Tarmaber,Tarma Ber Woreda,tarmaber,,,,,,,,,,
Amhara,North Wollo,Bugna,Bugna,Bugna,Bugna Woreda,,,,,,,,,,,
Amhara,North Wollo,Dawunt,Dawunt,Dawunt,Dawnt Woreda,dawnt,,,,,,,,,,
Amhara,North Wollo,Gidan,Gidan,Gidan,Gidan Woreda,,,,,,,,,,,
Amhara,North Wollo,Gubalafto,Gubalafto,Gubalafto,Gubalafto Woreda,gubalafto,,,,,,,,,,
Amhara,North Wollo,Habiru,Habiru,Habiru,Habru Woreda,habiru,,,,,,,,,,
Amhara,North Wollo,Kobo T,Kobo Town,Kobo T,Kobo Town Woreda,kobo town,kobo t,,,,,,,,,
Amhara,North Wollo,Lalibela T,Lalibela Town,Lalibela T,Lalibela Town Woreda,lalibela town,lalibela t,lalibella town,lalibela,,,,,,,
Amhara,North Wollo,Lasta,Lasta,Lasta,Lasta Woreda,,,,,,,,,,,
Amhara,North Wollo,Meket,Meket,Meket,Meket Woreda,,,,,,,,,,,
Amhara,North Wollo,Raya Kobo,Raya Kobo,Raya Kobo,Raya Kobo Woreda,raya kobo,,,,,,,,,,
Amhara,North Wollo,Wadila,Wadila,Wadila,Wadla Woreda,wadlla,wadila,,,,,,,,,
Amhara,North Wollo,Woldiya,Woldiya,Woldiya,Woldia Town Woreda,woldiya,woldiya town,woldia,,,,,,,,
Amhara,Oromia,Artuma Fursi,Artuma Fursi,Artuma Fursi,Artuma Fursi Woreda,,,,,,,,,,,
Amhara,Oromia,Bati Town,Bati Town,Bati Town,bati town,,,,,,,,,,,
Amhara,Oromia,Bati woreda,Bati woreda,Bati woreda,Bati Woreda,bati woreda,bati,bati rural,Bate Zuria Woreda,,,,,,,
Amhara,Oromia,Dawe Harwa,Dawe Harwa,Dawe Harwa,Dewi Harewa Woreda,dewi harewa,dewe harwa,dawe harewa,dawe harwa,,,,,,,
Amhara,Oromia,Dewa chefa,Dewa chefa,Dewa chefa,Dawa Chefa Woreda,dewe chefa,dewa chefa,,,,,,,,,
Amhara,Oromia,Jille Timuga,Jille Timuga,Jille Timuga,Jile Timuga Woreda,jille timuga,,,,,,,,,,
Amhara,Oromia,Kemissie Town,Kemissie Town,Kemissie Town,Kemise Town Woreda,kemissie,kemissie town,kemisie town,,,,,,,,
Amhara,South Gondar,Andabet,Andabet,Andabet,andabet,,,,,,,,,,,
Amhara,South Gondar,Debretabor,Debretabor,Debretabor,debre tabor,debre tabor town,debre tabour,Debretabor Town Woreda,debretabor hospital,,,,,,,
Amhara,South Gondar,Dera,Dera,Dera,Dera Woreda,,,,,,,,,,,
Amhara,South Gondar,Ebinat,Ebinat,Ebinat,Ebinat Woreda,,,,,,,,,,,
Amhara,South Gondar,Estie,Estie,Estie,estie,estea,east esite,merab este,,,,,,,,
Amhara,South Gondar,Farta,Farta,Farta,Farta Woreda,,,,,,,,,,,
Amhara,South Gondar,Fogera,Fogera,Fogera,Fogera Woreda,,,,,,,,,,,
Amhara,South Gondar,LayGayint,LayGayint,LayGayint,Lay Gayint Woreda,lay gaint,laygayint,,,,,,,,,
Amhara,South Gondar,Libo kemkem,Libo kemkem,Libo kemkem,Libokemkem Woreda,libo kemkem,lobo kemkem,,,,,,,,,
Amhara,South Gondar,Simada,Simada,Simada,Simada Woreda,,,,,,,,,,,
Amhara,South Gondar,Tach Gaint,Tach Gaint,Tach Gaint,Tach Gayint Woreda,tach gaint,,,,,,,,,,
Amhara,South Gondar,Woreta,Woreta,Woreta,Woreta Woreda,woreta,woreta town,,,,,,,,,
Amhara,South Wolo,Albuko,Albuko,Albuko,albuko,Albuko Woreda,,,,,,,,,,
Amhara,South Wolo,Ambasel,Ambasel,Ambasel,Ambasel Woreda,ambassel,,,,,,,,,,
Amhara,South Wolo,Aregoba,Aregoba,Aregoba,Argoba Woreda,aregoba,,,,,,,,,,
Amhara,South Wolo,Borena,Borena,Borena,borena,Borena Woreda,,,,,,,,,,
Amhara,South Wolo,D/zuryia,Dessie zuryia,D zuryia,d zuryia,Dessie Zuriya,Dese Zuriya Woreda,dessie zuria,desie z.,,,,,,,
Amhara,South Wolo,Delanta,Delanta,Delanta,Delanta Woreda,delanta,,,,,,,,,,
Amhara,South Wolo,Dessie Town,Dessie City,Dessie Town,dessie,dessie town,,,,,,,,,,
Amhara,South Wolo,Jamma,Jamma,Jamma,Jama Woreda,jamma,,,,,,,,,,
Amhara,South Wolo,Kalu,Kalu,Kalu,Kalu Woreda,kallu,,,,,,,,,,
Amhara,South Wolo,Kelala,Kelala,Kelala,Kelela Woreda,kelela,kelalla,,,,,,,,,
Amhara,South Wolo,Komebelcha,Komebelcha,Komebelcha,komebelcha,,,,,,,,,,,
Amhara,South Wolo,Kutaber,Kutaber,Kutaber,Kutaber Woreda,,,,,,,,,,,
Amhara,South Wolo,Legambo,Legambo,Legambo,Legambo Woreda,legambo,lagambo,,,,,,,,,
Amhara,South Wolo,Leghida,Leghida,Leghida,Lega Hidha Woreda,lega hidha,Legahida Woreda,leghida,lege hida,legahida,,,,,,
Amhara,South Wolo,M/Saint,Mehal Saint,M Saint,m saint,m/ sayint,Mehal sayint woreda,,,,,,,,,
Amhara,South Wolo,Mekdela,Mekdela,Mekdela,Mekdela Woreda,,,,,,,,,,,
Amhara,South Wolo,Saint,Saint,Saint,Sayint Woreda,sayint,saint,,,,,,,,,
Amhara,South Wolo,Tehuldere,Tehuldere,Tehuldere,Tehuledere Woreda,tehuldere,,,,,,,,,,
Amhara,South Wolo,Tenta,Tenta,Tenta,Tenta Woreda,,,,,,,,,,,
Amhara,South Wolo,Wogdi,Wogdi,Wogdi,Wogidi Woreda,wogdi,wegidi,wegdi,wegdy,,,,,,,
Amhara,South Wolo,Worebabo,Worebabo,Worebabo,Werebabo Woreda,werebabu,worebabo,worebabu,,,,,,,,
Amhara,South Wolo,Worilu,Worilu,Worilu,Were Ilu Woreda,wereilu,were ilu,worilu,,,,,,,,
Amhara,WagHimra,Abergele,Abergele,Abergele,aberegele,Abergele Woreda,,,,,,,,,,
Amhara,WagHimra,Dehana,Dehana,Dehana,Dehana Woreda,dehana,,,,,,,,,,
Amhara,WagHimra,Gazgibla,Gazgibla,Gazgibla,Gazgibla Woreda,gazgibla,,,,,,,,,,
Amhara,WagHimra,sehala,Sehala,sehala,Sehala Woreda,sehala,,,,,,,,,,
Amhara,WagHimra,Sekota town,Sekota Town,Sekota town,Sekota Town Woreda,sekota,,,,,,,,,,
Amhara,WagHimra,Sekota woreda,Sekota Woreda,Sekota woreda,Sekota Woreda,sekota woreda,sekota zuriya,,,,,,,,,
Amhara,WagHimra,Ziquala,Ziquala,Ziquala,Ziquala Woreda,ziquala,,,,,,,,,,
Amhara,West Gojam,Bahir Dar,Bahir Dar,Bahir Dar,bahirdar special,bahir dar,bahirdar,bahar dar model clinic,bahrdar special,bahir dar town,,,,,,
Amhara,West Gojam,Bahir Dar zuria,Bahir Dar zuria,Bahir Dar zuria,Bahir Dar Zuriya Woreda,bahi-dar zurya,bahir dar zuria,bahrdar zuria,bahri dar zuria,,,,,,,
Amhara,West Gojam,Burie Town,Burie Town,Burie Town,burie town,Burie ketema town woreda,,,,,,,,,,
Amhara,West Gojam,Burie zuria,Burie zuria,Burie zuria,bure zuria,Bure Zuria Woreda,burie zuria,,,,,,,,,
Amhara,West Gojam,Debub Achefre,Debub Achefre,Debub Achefre,Debub Achefer Woreda,debub achefre,debub achefer,debub achefer,,,,,,,,
Amhara,West Gojam,Dega Damot,Dega Damot,Dega Damot,Dega Damot Woreda,dega damot,,,,,,,,,,
Amhara,West Gojam,Dembecha,Dembecha,Dembecha,Dembecha Woreda,demibecha,demibecha,,,,,,,,,
Amhara,West Gojam,Finot Selam Town,Finot Selam Town,Finot Selam Town,Finote Selam Town Woreda,finot selam town,finote selam,finote selam hospital,,,,,,,,
Amhara,West Gojam,Gonji Kolela,Gonji Kolela,Gonji Kolela,Gonge Kolela Woreda,gonge kolela,gongi kolela,,,,,,,,,
Amhara,West Gojam,Jabi Tehinan,Jabi Tehinan,Jabi Tehinan,Jabi Tehinan Woreda,jabi tehnan,jabi tehinan,,,,,,,,,
Amhara,West Gojam,Mecha,Mecha,Mecha,Mecha Woreda,mecha,,,,,,,,,,
Amhara,West Gojam,Quarit,Quarit,Quarit,Quarit Woreda,quarit,,,,,,,,,,
Amhara,West Gojam,Sekela,Sekela,Sekela,Sekela Woreda,sekala,sekela,,,,,,,,,
Amhara,West Gojam,Semen Achefer,Semen Achefer,Semen Achefer,Semen Achefer Woreda,semen achefer,semen achefer,,,,,,,,,
Amhara,West Gojam,Womberma,Womberma,Womberma,Wenberma Woreda,womberma,wonberma,,,,,,,,,
Amhara,West Gojam,Yilmana Diensa,Yilmana Diensa,Yilmana Diensa,Yilmana Densa Woreda,yilimana dnisa,yilma na densa,yilmana diensa,,,,,,,,
